User,Degree Centrality,Closeness Centrality,Betweenness Centrality,Average Centrality
privacy,0.034211561148250094,0.0,0.0,0.011403853716083365
louvael_,0.018875344081793158,0.11944754307542915,0.0,0.04610762905240743
luthfillah31,0.00039323633503735744,0.0,0.0,0.00013107877834578582
ny.p.l,0.0007864726700747149,0.0,0.0,0.00026215755669157164
blubreis,0.00039323633503735744,0.0,0.0,0.00013107877834578582
faaizra,0.007078254030672434,0.005921676574680206,9.539564907148063e-07,0.004333628187281118
ydhiyak,0.0007864726700747149,0.0,0.0,0.00026215755669157164
senecaa9,0.001966181675186787,0.0,0.0,0.0006553938917289291
fxxkingrabbits._,0.0011797090051120724,0.0,0.0,0.00039323633503735744
apriando06,0.002752654345261502,0.0,0.0,0.0009175514484205007
rayhanram64gb,0.007471490365709791,0.005921676574680206,1.0249256301346038e-06,0.00446473062200671
fqrnnisa,0.00039323633503735744,0.0,0.0,0.00013107877834578582
nihkiy,0.0007864726700747149,0.0,0.0,0.00026215755669157164
www.instagram.com,0.034211561148250094,0.0,0.0,0.011403853716083365
reels,0.034211561148250094,0.0,0.0,0.011403853716083365
mrsiepie,0.001966181675186787,0.0,0.0,0.0006553938917289291
rizky_adityana,0.0609516319307904,0.1290099051519783,0.0003026696512238499,0.06342140224466418
diggied4w,0.007078254030672434,0.005921676574680206,9.99143022277447e-07,0.0043336432494583054
blog,0.034211561148250094,0.0,0.0,0.011403853716083365
instagram,0.034211561148250094,0.0,0.0,0.011403853716083365
inbox,0.034211561148250094,0.0,0.0,0.011403853716083365
yunita264,0.06016515926071569,0.10768265934083628,0.00010256321405577093,0.055983460605202574
aliashari12,0.00039323633503735744,0.0,0.0,0.00013107877834578582
chesagaraa,0.0007864726700747149,0.0,0.0,0.00026215755669157164
wandzzh,0.0007864726700747149,0.0,0.0,0.00026215755669157164
dev_hrd,0.0015729453401494297,0.0,0.0,0.0005243151133831433
bimaharish,0.0007864726700747149,0.0,0.0,0.00026215755669157164
about.instagram.com,0.034211561148250094,0.0,0.0,0.011403853716083365
salvinnafisah,0.0011797090051120724,0.0,0.0,0.00039323633503735744
mariff0705,0.00039323633503735744,0.0,0.0,0.00013107877834578582
careers,0.034211561148250094,0.0,0.0,0.011403853716083365
akbaralqahri,0.00039323633503735744,0.0,0.0,0.00013107877834578582
rafanpradipta__,0.05977192292567833,0.15301339463964056,0.0002900801210008726,0.07102513256210659
le.loc.338,0.0007864726700747149,0.0,0.0,0.00026215755669157164
chxraz_,0.0007864726700747149,0.0,0.0,0.00026215755669157164
kanjutaring,0.00039323633503735744,0.0,0.0,0.00013107877834578582
help.instagram.com,0.031458906802988594,0.0,0.0,0.010486302267662865
ernestvicee,0.0007864726700747149,0.0,0.0,0.00026215755669157164
people,0.00039323633503735744,0.0,0.0,0.00013107877834578582
terms,0.034211561148250094,0.0,0.0,0.011403853716083365
?entrypoint=web_footer,0.029885961462839165,0.0,0.0,0.009961987154279721
ryansyahfathinn,0.0007864726700747149,0.0,0.0,0.00026215755669157164
alfathurrh,0.0011797090051120724,0.0,0.0,0.00039323633503735744
explore,0.034211561148250094,0.0,0.0,0.011403853716083365
ansos1761,0.039323633503735744,0.005505308690523005,1.3997813096432501e-05,0.014947646669118395
?xmt=AQGz_GeaXZWeLnr5tnXgumVuDWbrNFQZWN2vYqKtxsBcoAw,0.00039323633503735744,0.0,0.0,0.00013107877834578582
firnandahdt,0.00039323633503735744,0.0,0.0,0.00013107877834578582
locations,0.034211561148250094,0.0,0.0,0.011403853716083365
mufidizz,0.0007864726700747149,0.0,0.0,0.00026215755669157164
?xmt=AQGzGjomxsmhKgf3fgN8a9gbYfC3K39jybAbCeMn7u8xDyQ,0.00039323633503735744,0.0,0.0,0.00013107877834578582
haeva.docx,0.00039323633503735744,0.0,0.0,0.00013107877834578582
lungidlintang,0.00039323633503735744,0.0,0.0,0.00013107877834578582
rangs_2024,0.00039323633503735744,0.0,0.0,0.00013107877834578582
diaryofkyu,0.00039323633503735744,0.0,0.0,0.00013107877834578582
malika.zakya,0.00039323633503735744,0.0,0.0,0.00013107877834578582
zezcaa,0.00039323633503735744,0.0,0.0,0.00013107877834578582
supplier_hijabgrosir,0.00039323633503735744,0.0,0.0,0.00013107877834578582
blqskr,0.00039323633503735744,0.0,0.0,0.00013107877834578582
andyrizky.a,0.00039323633503735744,0.0,0.0,0.00013107877834578582
nasywadnaa,0.00039323633503735744,0.0,0.0,0.00013107877834578582
adibmumtazaa_,0.00039323633503735744,0.0,0.0,0.00013107877834578582
ru.bira,0.00039323633503735744,0.0,0.0,0.00013107877834578582
chacha.ald,0.0015729453401494297,0.0,0.0,0.0005243151133831433
farrikhrdua,0.00039323633503735744,0.0,0.0,0.00013107877834578582
ristabela04,0.00039323633503735744,0.0,0.0,0.00013107877834578582
bilovelly,0.00039323633503735744,0.0,0.0,0.00013107877834578582
hanbur9er,0.00039323633503735744,0.0,0.0,0.00013107877834578582
jeawrr_,0.00039323633503735744,0.0,0.0,0.00013107877834578582
dinadzawil,0.00039323633503735744,0.0,0.0,0.00013107877834578582
_dika333,0.00039323633503735744,0.0,0.0,0.00013107877834578582
xellysbats,0.00039323633503735744,0.0,0.0,0.00013107877834578582
_abcdiska,0.00039323633503735744,0.0,0.0,0.00013107877834578582
makasiyaita,0.00039323633503735744,0.0,0.0,0.00013107877834578582
pooyear,0.00039323633503735744,0.0,0.0,0.00013107877834578582
kinmiiko,0.00039323633503735744,0.0,0.0,0.00013107877834578582
bjainunnimh,0.00039323633503735744,0.0,0.0,0.00013107877834578582
heyyy._.najwarahman,0.00039323633503735744,0.0,0.0,0.00013107877834578582
vixuuw,0.00039323633503735744,0.0,0.0,0.00013107877834578582
cha.ald,0.00039323633503735744,0.0,0.0,0.00013107877834578582
shafira23.am,0.00039323633503735744,0.0,0.0,0.00013107877834578582
32.486.08,0.00039323633503735744,0.0,0.0,0.00013107877834578582
ihssanzc,0.00039323633503735744,0.0,0.0,0.00013107877834578582
wwmutiaaxyz,0.00039323633503735744,0.0,0.0,0.00013107877834578582
nume.raa,0.00039323633503735744,0.0,0.0,0.00013107877834578582
almasfauzz_,0.00039323633503735744,0.0,0.0,0.00013107877834578582
jiihannb,0.00039323633503735744,0.0,0.0,0.00013107877834578582
spid3rkoo,0.00039323633503735744,0.0,0.0,0.00013107877834578582
syaviaarva,0.00039323633503735744,0.0,0.0,0.00013107877834578582
rikhafebii,0.00039323633503735744,0.0,0.0,0.00013107877834578582
rpskw,0.00039323633503735744,0.0,0.0,0.00013107877834578582
smoochkoshi,0.00039323633503735744,0.0,0.0,0.00013107877834578582
ghazamg,0.00039323633503735744,0.0,0.0,0.00013107877834578582
fatinrfh,0.00039323633503735744,0.0,0.0,0.00013107877834578582
dipolswag,0.00039323633503735744,0.0,0.0,0.00013107877834578582
ansrr.a,0.00039323633503735744,0.0,0.0,0.00013107877834578582
